date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:00	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Wed,%2007%20Sep%202022%2011:52:59%20GMT	https://tripindia.herokuapp.com/robots.txt		(from )
17:23:00	216/216	---M--	302	error ('FOUND')	text/html	date:Wed,%2007%20Sep%202022%2011:52:59%20GMT	https://tripindia.herokuapp.com/	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/index.html	(from )
17:23:01	22980/22980	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202022%2011:53:00%20GMT	https://tripindia.herokuapp.com/home	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/home.html	(from https://tripindia.herokuapp.com/)
17:23:02	90204/90204	---M--	200	added ('OK')	image/png	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/hero-img1.png	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/hero-img1.png	(from https://tripindia.herokuapp.com/home)
17:23:02	26053/26053	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/aos/aos.css	(from https://tripindia.herokuapp.com/home)
17:23:03	163873/163873	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://tripindia.herokuapp.com/home)
17:23:03	73271/73271	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://tripindia.herokuapp.com/home)
17:23:04	63781/63781	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/boxicons/css/boxicons.min.css	(from https://tripindia.herokuapp.com/home)
17:23:05	13785/13785	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/glightbox/css/glightbox.min.css	(from https://tripindia.herokuapp.com/home)
17:23:05	15563/15563	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/vendor/swiper/swiper-bundle.min.css	(from https://tripindia.herokuapp.com/home)
17:23:06	22745/22745	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/style.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/style.css	(from https://tripindia.herokuapp.com/home)
17:23:06	41488/41488	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/main.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/main.css	(from https://tripindia.herokuapp.com/home)
17:23:09	8362/8362	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/linearicons.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/linearicons.css	(from https://tripindia.herokuapp.com/home)
17:23:09	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	C:/My%20Web%20Sites/Tourism%20Site/code.jquery.com/jquery-1.12.0.min.js	(from https://tripindia.herokuapp.com/home)
17:23:09	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/font-awesome.min.css	(from https://tripindia.herokuapp.com/home)
17:23:10	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/magnific-popup.css	(from https://tripindia.herokuapp.com/home)
17:23:10	140685/140685	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/bootstrap.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/bootstrap.css	(from https://tripindia.herokuapp.com/home)
17:23:10	52789/52789	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/animate.min.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/animate.min.css	(from https://tripindia.herokuapp.com/home)
17:23:10	4112/4112	---M--	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/css/owl.carousel.css	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/css/owl.carousel.css	(from https://tripindia.herokuapp.com/home)
17:23:11	308/308	---M--	308	error ('PERMANENT%20REDIRECT')	text/html	date:Wed,%2007%20Sep%202022%2011:53:10%20GMT	https://tripindia.herokuapp.com/touristdestination	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination	(from https://tripindia.herokuapp.com/home)
17:23:11	260/260	---M--	302	error ('FOUND')	text/html	date:Wed,%2007%20Sep%202022%2011:53:10%20GMT	https://tripindia.herokuapp.com/touristdestination/	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/index.html	(from https://tripindia.herokuapp.com/home)
17:23:11	9984/9984	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202022%2011:53:11%20GMT	https://tripindia.herokuapp.com/user/login	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/user/login.html	(from https://tripindia.herokuapp.com/home)
17:23:12	20266/20266	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202022%2011:53:11%20GMT	https://tripindia.herokuapp.com/touristdestination/explore	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/explore.html	(from https://tripindia.herokuapp.com/home)
17:23:14	142647/142647	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/services-1.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/services-1.jpg	(from https://tripindia.herokuapp.com/home)
17:23:14	652726/652726	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/slider1.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/slider1.jpg	(from https://tripindia.herokuapp.com/home)
17:23:15	139524/139524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/services-2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/services-2.jpg	(from https://tripindia.herokuapp.com/home)
17:23:15	280/280	---M--	308	error ('PERMANENT%20REDIRECT')	text/html	date:Wed,%2007%20Sep%202022%2011:53:14%20GMT	https://tripindia.herokuapp.com/plan	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/plan	(from https://tripindia.herokuapp.com/home)
17:23:15	240/240	---M--	302	error ('FOUND')	text/html	date:Wed,%2007%20Sep%202022%2011:53:14%20GMT	https://tripindia.herokuapp.com/plan/	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/plan/index.html	(from https://tripindia.herokuapp.com/home)
17:23:15	46043/46043	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/services-3.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/services-3.jpg	(from https://tripindia.herokuapp.com/home)
17:23:17	95519/95519	---M--	200	added ('OK')	image/png	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/hero-img.png	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/hero-img.png	(from https://tripindia.herokuapp.com/home)
17:23:17	454820/454820	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/services-4.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/services-4.jpg	(from https://tripindia.herokuapp.com/home)
17:23:18	1423591/1423591	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/static/assets/img/slider3.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/static/assets/img/slider3.jpg	(from https://tripindia.herokuapp.com/home)
